experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.008668898022733629,0.0002088090404868126,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
glove__average__logreg,glove,glove average,average,logreg,ok,30.471465483075008,0.04968090099282563,0.45615079365079364,0.4494236508762688,0.8051587301587302,0.7987103174603174,0.6360238598610692,feature_seconds=44.69; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__average__linear_svm,glove,glove average,average,linear_svm,ok,204.48925932508428,0.04596449201926589,0.46464285714285714,0.44435343477759554,0.8225396825396826,0.7943650793650794,0.6382414882414882,feature_seconds=44.69; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__average__ridge_classifier,glove,glove average,average,ridge_classifier,ok,0.9027340300381184,0.020387533004395664,0.460515873015873,0.44008955221261103,0.8374206349206349,0.7906448412698412,0.6278176744836996,feature_seconds=44.69; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__logreg,glove,glove tfidf_weighted,tfidf_weighted,logreg,ok,32.740037585026585,0.046204508980736136,0.43757936507936507,0.4307771419005394,0.8590873015873016,0.7852281746031746,0.5996439437468798,feature_seconds=45.12; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__linear_svm,glove,glove tfidf_weighted,tfidf_weighted,linear_svm,ok,186.1168834969867,0.08214660093653947,0.44023809523809526,0.41888181549930537,0.8948015873015873,0.7762996031746032,0.5931756244939184,feature_seconds=45.12; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__ridge_classifier,glove,glove tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.9406154080061242,0.019010597025044262,0.43567460317460316,0.4140477225185095,0.9071825396825397,0.7732043650793651,0.5860809039861833,feature_seconds=45.12; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__logreg,glove,glove mean_max,mean_max,logreg,ok,52.44259336695541,0.09278798697050661,0.44555555555555554,0.44009943700924214,0.842579365079365,0.7893551587301587,0.6061642209241582,feature_seconds=44.60; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__linear_svm,glove,glove mean_max,mean_max,linear_svm,ok,338.9075348969782,0.11528908205218613,0.4672222222222222,0.4497195394021404,0.816468253968254,0.7958829365079365,0.6384138169747855,feature_seconds=44.60; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__ridge_classifier,glove,glove mean_max,mean_max,ridge_classifier,ok,1.9032933119451627,0.030661501921713352,0.45936507936507937,0.44241218352349393,0.8426190476190476,0.7893452380952382,0.6191584633426916,feature_seconds=44.60; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__sif__logreg,glove,glove sif,sif,logreg,ok,30.873860350926407,0.04943582706619054,0.4276984126984127,0.4195421930310136,0.9046825396825396,0.7738293650793651,0.5660803223339365,feature_seconds=51.42; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__sif__linear_svm,glove,glove sif,sif,linear_svm,ok,155.79540296900086,0.05349354608915746,0.42603174603174604,0.4048645558251729,0.9446428571428571,0.7638392857142857,0.5593401345778164,feature_seconds=51.42; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__sif__ridge_classifier,glove,glove sif,sif,ridge_classifier,ok,0.9110739791067317,0.022605214035138488,0.42603174603174604,0.4044875245043212,0.9492063492063492,0.7626984126984127,0.5556709956709956,feature_seconds=51.42; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,32.01334115595091,0.051844690926373005,0.48932539682539683,0.48443440264404797,0.7279761904761904,0.8180059523809524,0.6818847165749821,feature_seconds=98.08; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,121.49297572509386,0.05560943693853915,0.49396825396825395,0.4772328948046036,0.7536904761904762,0.811577380952381,0.6751580962262632,feature_seconds=98.08; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,0.8385055549442768,0.0152269919635728,0.4882142857142857,0.4708861546722304,0.7666666666666667,0.8083333333333333,0.6668751451904005,feature_seconds=98.08; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,32.01737509202212,0.04826745204627514,0.4652777777777778,0.4592927862705637,0.7966666666666666,0.8008333333333333,0.6373940898838069,feature_seconds=102.53; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__linear_svm,fasttext,fasttext tfidf_weighted,tfidf_weighted,linear_svm,ok,91.76382267498411,0.04867927997838706,0.4658333333333333,0.44765239138198404,0.8357936507936508,0.7910515873015873,0.6226264842768409,feature_seconds=102.53; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__ridge_classifier,fasttext,fasttext tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.8763565949629992,0.015375051996670663,0.4636904761904762,0.4447928269145856,0.8440079365079365,0.7889980158730159,0.6174298896406927,feature_seconds=102.53; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,53.054652615915984,0.07034696405753493,0.4773809523809524,0.47129479601712915,0.7746825396825396,0.806329365079365,0.6491091883295151,feature_seconds=102.63; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,214.3851971148979,0.07204088300932199,0.5046428571428572,0.4895370550274021,0.7300793650793651,0.8174801587301588,0.686795853988283,feature_seconds=102.63; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,1.9825645820237696,0.029812544933520257,0.4959126984126984,0.4809760137470412,0.7558333333333334,0.8110416666666667,0.6678458303628636,feature_seconds=102.63; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__sif__logreg,fasttext,fasttext sif,sif,logreg,ok,30.660882523981854,0.03814953693654388,0.4603968253968254,0.4550542412059608,0.8202777777777778,0.7949305555555556,0.6166985268243507,feature_seconds=103.28; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__sif__linear_svm,fasttext,fasttext sif,sif,linear_svm,ok,81.37072639190592,0.04048506903927773,0.46035714285714285,0.44282901152175463,0.8601984126984127,0.7849503968253968,0.6036327532865868,feature_seconds=103.28; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__sif__ridge_classifier,fasttext,fasttext sif,sif,ridge_classifier,ok,0.8284363219281659,0.015339486999437213,0.4572222222222222,0.43907960463646434,0.8693253968253968,0.7826686507936508,0.5981475419987792,feature_seconds=103.28; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
