experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
D1__fasttext__average__mlp,1,1.2802526410925326,1.2055385840128339,0.4762301587301587,0.473677219801675,0.7169444444444445,0.8207638888888888,0.6975702390806837
D1__fasttext__average__mlp,2,1.209864112603391,1.1782131277568757,0.49396825396825395,0.4902074015417431,0.6894444444444444,0.8276388888888889,0.7098582775268649
D1__fasttext__average__mlp,3,1.190285625340026,1.1610295319178747,0.5006349206349207,0.4853293211280669,0.705,0.82375,0.7121097274860133
D1__fasttext__average__mlp,4,1.1779536214118702,1.1553392215002152,0.5028571428571429,0.49628369850947207,0.6865079365079365,0.8283730158730158,0.7123710750576707
D1__fasttext__average__mlp,5,1.1670649548939296,1.140997390671382,0.5099206349206349,0.509170643642258,0.6519047619047619,0.8370238095238095,0.7281738085702844
D1__fasttext__average__mlp,6,1.1579778193081918,1.139257547817533,0.5121428571428571,0.500183288569373,0.690515873015873,0.8273710317460318,0.7102248152613029
D1__fasttext__average__mlp,7,1.1506629408141713,1.1199796046151056,0.5171825396825397,0.5080652280864518,0.6641666666666667,0.8339583333333334,0.7269734688724505
D1__fasttext__average__mlp,8,1.1449566224937506,1.1237135837191627,0.5176587301587302,0.5123873506150243,0.6496825396825396,0.837579365079365,0.7326969896046682
D1__fasttext__average__mlp,9,1.140250049520422,1.1182814115948148,0.5173809523809524,0.5152572263274179,0.6463492063492063,0.8384126984126984,0.7335132597981695
D1__fasttext__average__mlp,10,1.137737061325625,1.1095139446712676,0.5204761904761904,0.5088091669461521,0.6621825396825397,0.8344543650793651,0.7286303974769259
D2__fasttext__pretrained_token_vectors__textcnn,1,1.1004926189207316,0.9854422458012899,0.5747222222222222,0.5675253634421072,0.5453174603174603,0.8636706349206349,0.7959021360399939
D2__fasttext__pretrained_token_vectors__textcnn,2,0.9761227207335215,0.9602148042027913,0.5844444444444444,0.584103638007526,0.5079365079365079,0.873015873015873,0.8148842777334397
D2__fasttext__pretrained_token_vectors__textcnn,3,0.9452588484064401,0.9552214981260754,0.5881746031746031,0.5895358878185223,0.5010714285714286,0.8747321428571428,0.8176692296095281
D2__fasttext__pretrained_token_vectors__textcnn,4,0.9241595422275483,0.9479640133797176,0.5880555555555556,0.5867387220543192,0.49857142857142855,0.8753571428571428,0.8208075273939972
D2__fasttext__pretrained_token_vectors__textcnn,5,0.9088592911060945,0.9313946126377772,0.5962301587301587,0.5946261988818875,0.4903571428571429,0.8774107142857143,0.8254781320223341
D2__fasttext__pretrained_token_vectors__textcnn,6,0.8950940961644342,0.931029310150752,0.5981349206349207,0.5934638922746542,0.4922222222222222,0.8769444444444444,0.8266480039881888
D2__fasttext__pretrained_token_vectors__textcnn,7,0.885341635246546,0.928503054058741,0.5971428571428572,0.5909462540437902,0.49515873015873013,0.8762103174603175,0.8252270588912998
D2__fasttext__pretrained_token_vectors__textcnn,8,0.8737293691694,0.9313185804230826,0.5953571428571428,0.587380836686967,0.49912698412698414,0.8752182539682539,0.824159166271909
D2__fasttext__pretrained_token_vectors__textcnn,9,0.8657838657251321,0.9303629345742483,0.5987301587301588,0.5996137821398311,0.47813492063492063,0.8804662698412699,0.8314945136581301
D2__fasttext__pretrained_token_vectors__textcnn,10,0.8566430353529659,0.9384291880471366,0.5947222222222223,0.586736652582206,0.5013492063492063,0.8746626984126984,0.8213751443882671
D3__fasttext__pretrained_token_vectors__bilstm,1,1.1972963581724352,1.1106682306622702,0.5251587301587302,0.5209166340465596,0.6411904761904762,0.8397023809523809,0.7379842591885077
D3__fasttext__pretrained_token_vectors__bilstm,2,1.0889909052260127,1.0661532983325777,0.5367857142857143,0.5403839874650276,0.5873412698412699,0.8531646825396826,0.7662149229771864
D3__fasttext__pretrained_token_vectors__bilstm,3,1.0581074143128841,1.0469271473657518,0.5492857142857143,0.540152597736701,0.597936507936508,0.8505158730158731,0.7693803834398444
D3__fasttext__pretrained_token_vectors__bilstm,4,1.0355141221993394,1.0220592602472456,0.5554761904761905,0.5444003064569504,0.5802380952380952,0.8549404761904762,0.7818639705201563
D3__fasttext__pretrained_token_vectors__bilstm,5,1.0199681508772378,1.0172973654762147,0.5553174603174603,0.5459348779092534,0.5785714285714286,0.8553571428571428,0.78212467011114
D3__fasttext__pretrained_token_vectors__bilstm,6,1.0078860710243278,1.0069206852383084,0.563531746031746,0.5573174629569653,0.5538095238095239,0.861547619047619,0.7945532728141425
D3__fasttext__pretrained_token_vectors__bilstm,7,0.9984593678403784,1.0171679785138086,0.5508730158730158,0.5503520396680844,0.5535714285714286,0.8616071428571428,0.7898204579146764
D3__fasttext__pretrained_token_vectors__bilstm,8,0.9919096423541007,0.9973314572894384,0.5669444444444445,0.5619487217436859,0.5502777777777778,0.8624305555555556,0.7936163470679175
D3__fasttext__pretrained_token_vectors__bilstm,9,0.9866002398109099,0.9998322735892402,0.5642063492063492,0.5641362636808926,0.5379365079365079,0.865515873015873,0.7996574319345138
D3__fasttext__pretrained_token_vectors__bilstm,10,0.9803981954710824,0.9841987758969504,0.5714285714285714,0.566107697915031,0.5368253968253969,0.8657936507936508,0.8047691720717284
