family,classifier,mean,std
bow,complement_nb,0.5801058201058201,0.007003977621889191
bow,linear_svm,0.6463756613756614,0.004838395798826849
bow,logreg,0.5347222222222222,0.004664850904714429
bow,ridge_classifier,0.7817328042328042,0.0034378304333575354
fasttext,linear_svm,0.7308333333333333,0.0006675636444944763
fasttext,logreg,0.7313095238095237,0.004006168083848818
fasttext,ridge_classifier,0.7541402116402116,0.002249805194855304
glove,linear_svm,0.8068915343915344,0.008298332897767486
glove,logreg,0.7999338624338624,0.004561306124724638
glove,ridge_classifier,0.8300661375661376,0.006458671123896547
majority,dummy_most_frequent,2.0,0.0
tfidf_char,complement_nb,0.6666534391534391,0.0013222882787415093
tfidf_char,linear_svm,0.5730291005291005,0.0015236924007017232
tfidf_char,logreg,0.526547619047619,0.003250336726940533
tfidf_char,ridge_classifier,0.5697089947089947,0.0009017051305372559
tfidf_word,complement_nb,0.5718650793650794,0.008337867247343039
tfidf_word,linear_svm,0.557526455026455,0.0032482366607462483
tfidf_word,logreg,0.505026455026455,0.008409921424464529
tfidf_word,ridge_classifier,0.5483201058201058,0.0024269152633483795
