seed,family,experiment,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
42,bow,bow__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.527944753004704,0.0204935529909562,0.568968253968254,0.5682507818824234,0.5296825396825396,0.8675793650793651,0.8082878049742609,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
43,bow,bow__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,43.078769284999,0.0220419550023507,0.5677777777777778,0.5640896439727134,0.5388888888888889,0.8652777777777778,0.803760372942337,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
44,bow,bow__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,47.4636229769967,0.0228787550004199,0.5707539682539683,0.5680875047927516,0.5355952380952381,0.8661011904761905,0.8043987215729704,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
42,fasttext,fasttext__average__logreg,fasttext average,average,logreg,ok,33.71357366902521,0.0522178309911396,0.4893253968253968,0.4844344026440479,0.7279761904761904,0.8180059523809524,0.6818847165749821,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
43,fasttext,fasttext__average__logreg,fasttext average,average,logreg,ok,31.0961584780016,0.0287944870069623,0.4947222222222222,0.4878377086536176,0.7301984126984127,0.8174503968253968,0.6791956470309912,feature_seconds=99.33; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
44,fasttext,fasttext__mean_max__linear_svm,fasttext mean_max,mean_max,linear_svm,ok,247.2671483019949,0.0758893629827071,0.5034920634920635,0.4884491257177693,0.7310714285714286,0.8172321428571429,0.6860691076383554,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
42,glove,glove__average__logreg,glove average,average,logreg,ok,30.584500261989888,0.0475916189898271,0.4561507936507936,0.4494236508762688,0.8051587301587302,0.7987103174603174,0.6360238598610692,feature_seconds=45.25; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
43,glove,glove__average__logreg,glove average,average,logreg,ok,30.53337498399196,0.0678247449977789,0.4603174603174603,0.4548836342358195,0.7978968253968254,0.8005257936507937,0.6365511668805552,feature_seconds=48.39; vocab_cov=0.3326; token_cov=0.8535; loaded_vectors=39050
44,glove,glove__average__logreg,glove average,average,logreg,ok,30.961295304005034,0.053073764021974,0.4628571428571428,0.4564946152088693,0.7967460317460318,0.8008134920634921,0.6380233874009809,feature_seconds=48.20; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
42,majority,majority__most_frequent,constant,most_frequent,dummy_most_frequent,ok,0.0093434260052163,0.0002057039819192,0.2,0.0666666666666666,2.0,0.5,0.0,Always predicts the most frequent training label.
43,majority,majority__most_frequent,constant,most_frequent,dummy_most_frequent,ok,0.0086320099944714,0.0002979059936478,0.2,0.0666666666666666,2.0,0.5,0.0,Always predicts the most frequent training label.
44,majority,majority__most_frequent,constant,most_frequent,dummy_most_frequent,ok,0.0088641720067244,0.0002516260137781,0.2,0.0666666666666666,2.0,0.5,0.0,Always predicts the most frequent training label.
42,tfidf_char,tfidf_char__char_wb_3_6__logreg,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,159.85411158498027,0.0938579680223483,0.5838492063492063,0.5803989082158825,0.5228968253968254,0.8692757936507937,0.8059580308727298,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
43,tfidf_char,tfidf_char__char_wb_3_6__logreg,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,165.47671839001123,0.0902463170059491,0.5819444444444445,0.5775392662485687,0.5291269841269841,0.867718253968254,0.8036026012392334,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
44,tfidf_char,tfidf_char__char_wb_3_6__logreg,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,162.6424353249895,0.0797663980047218,0.5804761904761905,0.5779987479244246,0.5276190476190477,0.868095238095238,0.8032044177409633,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
42,tfidf_word,tfidf_word__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,42.30695379598183,0.0238555789983365,0.5955952380952381,0.5928391786405746,0.5013888888888889,0.8746527777777777,0.8167587922672578,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
43,tfidf_word,tfidf_word__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.53527062298963,0.0214151229884009,0.5903571428571428,0.5859864947387582,0.5146428571428572,0.8713392857142856,0.810655588632252,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
44,tfidf_word,tfidf_word__word_1_3__logreg,"word n-grams=(1, 3)",word_1_3,logreg,ok,50.85306229200796,0.0312658680195454,0.5983333333333334,0.5956927873323254,0.4990476190476191,0.8752380952380953,0.8170476153517793,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
