experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.008864172006724402,0.0002516260137781501,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,47.4636229769967,0.022878755000419915,0.5707539682539683,0.5680875047927516,0.5355952380952381,0.8661011904761905,0.8043987215729704,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,292.10879963700427,0.023587939998833463,0.5144047619047619,0.5134288678145303,0.6451587301587302,0.8387103174603174,0.7396828523589087,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1126.1627489019884,0.022684855008265004,0.4633333333333333,0.4615441737953231,0.7825,0.8043750000000001,0.6436970676065992,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.24843653899733908,0.022271719994023442,0.5696031746031746,0.551888365677015,0.575595238095238,0.8561011904761905,0.7873383939696539,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,50.85306229200796,0.03126586801954545,0.5983333333333334,0.5956927873323254,0.4990476190476191,0.8752380952380953,0.8170476153517793,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
tfidf_word__word_1_3__linear_svm,tfidf_word,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,22.425377213017782,0.017284480010857806,0.559484126984127,0.5557949604182431,0.5563888888888889,0.8609027777777778,0.7944427816986397,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
tfidf_word__word_1_3__ridge_classifier,tfidf_word,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,47.554810256988276,0.021084177016746253,0.5677380952380953,0.5620763958386078,0.5471428571428572,0.8632142857142857,0.7994252982930218,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2200182499946095,0.01945171700208448,0.5721428571428572,0.5548827027867043,0.5676587301587301,0.8580853174603175,0.7919874549272191,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,162.6424353249895,0.07976639800472185,0.5804761904761905,0.5779987479244246,0.5276190476190477,0.868095238095238,0.8032044177409633,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,95.4147671610117,0.08723049401305616,0.558968253968254,0.5532476545919947,0.5712698412698413,0.8571825396825397,0.7837889359106333,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,416.4702510830248,0.10803273000055924,0.5638095238095238,0.5557409246140945,0.5695634920634921,0.857609126984127,0.7847010336378231,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
