experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,48.16272067185491,0.0195340672507882,0.5955952380952381,0.5928391786405746,0.5013888888888889,0.8746527777777777,0.8167587922672578,"feature_seconds=66.97; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_2__logreg,tfidf_word,"word n-grams=(1, 2)",word_1_2,logreg,ok,43.820867284201086,0.0178908882662653,0.5930952380952381,0.589848570544476,0.5041269841269841,0.873968253968254,0.8165254482638822,"feature_seconds=31.55; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,185.7835667105392,0.0962725449353456,0.5838492063492063,0.5803989082158825,0.5228968253968254,0.8692757936507937,0.8059580308727298,"feature_seconds=100.54; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
tfidf_char__char_wb_3_5__logreg,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,logreg,ok,154.77157679293305,0.0998022062703967,0.5819047619047619,0.5787548282388312,0.5263095238095238,0.8684226190476191,0.803734339476612,"feature_seconds=83.15; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=77838512"
tfidf_word__word_1_1__logreg,tfidf_word,"word n-grams=(1, 1)",word_1_1,logreg,ok,22.5951952021569,0.0085119465366005,0.5805555555555556,0.5777974400087543,0.5289285714285714,0.8677678571428571,0.8018597788843268,"feature_seconds=12.99; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,44.38595796748996,0.0251234704628586,0.568968253968254,0.5682507818824234,0.5296825396825396,0.8675793650793651,0.8082878049742609,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_2__logreg,bow,"word n-grams=(1, 2)",word_1_2,logreg,ok,42.44006855227053,0.0186470253393054,0.5677777777777778,0.5654068428401879,0.5328571428571428,0.8667857142857143,0.8079797586609576,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_1__logreg,bow,"word n-grams=(1, 1)",word_1_1,logreg,ok,23.02127906959504,0.0185586819425225,0.569047619047619,0.5647491438689829,0.5464682539682539,0.8633829365079365,0.7958011411197599,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
tfidf_word__word_1_3__ridge_classifier,tfidf_word,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,49.69007559120655,0.0194889893755316,0.5687698412698413,0.5630565728352513,0.5467063492063492,0.8633234126984127,0.7995433572753651,"feature_seconds=66.97; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_2__ridge_classifier,tfidf_word,"word n-grams=(1, 2)",word_1_2,ridge_classifier,ok,48.54411671124399,0.0203813891857862,0.5677380952380953,0.5621068073827972,0.5491269841269841,0.862718253968254,0.7974493195012848,"feature_seconds=31.55; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
tfidf_word__word_1_2__linear_svm,tfidf_word,"word n-grams=(1, 2)",word_1_2,linear_svm,ok,22.507195667363703,0.0181971425190567,0.5604365079365079,0.5568062087912002,0.5544444444444444,0.8613888888888889,0.7950856061922134,"feature_seconds=31.55; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
