experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
D1__fasttext__average__mlp,1,1.287451416693457,1.2207497937338694,0.4627777777777778,0.4628731701596061,0.7252777777777778,0.8186805555555555,0.6815398896502811
D1__fasttext__average__mlp,2,1.2128576324015488,1.172246875535874,0.491031746031746,0.4805508646008137,0.7092857142857143,0.8226785714285714,0.7046037707783273
D1__fasttext__average__mlp,3,1.1921178410292934,1.160790498748658,0.4954365079365079,0.4769202079524722,0.7191666666666666,0.8202083333333333,0.7072804892119534
D1__fasttext__average__mlp,4,1.1786716087364857,1.1858652427461411,0.4813492063492063,0.4807447797194337,0.7037698412698413,0.8240575396825397,0.7010402979618854
D1__fasttext__average__mlp,5,1.1704568699680309,1.1324153908472212,0.5128571428571429,0.5086946181579525,0.6532142857142857,0.8366964285714286,0.7310129971279754
D1__fasttext__average__mlp,6,1.1601407832695694,1.145390373260256,0.4940079365079365,0.4721953663565658,0.7328571428571429,0.8167857142857142,0.7025080274234141
D1__fasttext__average__mlp,7,1.1544362912438744,1.1321953588818747,0.5088095238095238,0.4914633479911739,0.6921031746031746,0.8269742063492064,0.7185063565974932
D1__fasttext__average__mlp,8,1.1466883064199378,1.1190317667855156,0.5156746031746032,0.5055821230805798,0.6679761904761905,0.8330059523809523,0.7265086506795306
D1__fasttext__average__mlp,9,1.1434368571360485,1.1132864183849758,0.5173809523809524,0.5041102125325245,0.6651587301587302,0.8337103174603174,0.7314707877321307
D1__fasttext__average__mlp,10,1.1389157505893204,1.114910835765657,0.5181349206349206,0.5047895942554088,0.6746825396825397,0.8313293650793651,0.7238733895803342
D2__fasttext__pretrained_token_vectors__textcnn,1,1.0980771700625276,0.995227536057669,0.5698412698412698,0.569279636014154,0.530515873015873,0.8673710317460317,0.8006444967928126
D2__fasttext__pretrained_token_vectors__textcnn,2,0.9759146617707752,0.9513429350323148,0.5846825396825397,0.5732329288850131,0.5284920634920635,0.8678769841269841,0.8059398187851896
D2__fasttext__pretrained_token_vectors__textcnn,3,0.945310028410883,0.942794374624888,0.5893650793650793,0.5793307336224288,0.5194841269841269,0.8701289682539682,0.8137100560665065
D2__fasttext__pretrained_token_vectors__textcnn,4,0.9261168197096972,0.9391217428918868,0.5888492063492063,0.5786302977700118,0.5175,0.870625,0.8149102401319752
D2__fasttext__pretrained_token_vectors__textcnn,5,0.9094871897756316,0.9268904982672798,0.5957539682539682,0.58956099201241,0.4980555555555555,0.8754861111111111,0.8253190787924457
D2__fasttext__pretrained_token_vectors__textcnn,6,0.8969416277833296,0.9255777830169314,0.5974603174603175,0.5878728429931052,0.5009523809523809,0.8747619047619047,0.8247937553179683
D2__fasttext__pretrained_token_vectors__textcnn,7,0.8836954602825158,0.9233321062345352,0.5947619047619047,0.5942521007730281,0.4868253968253968,0.8782936507936507,0.8294018036466743
D2__fasttext__pretrained_token_vectors__textcnn,8,0.8728135030357926,0.9279419603045024,0.5939682539682539,0.589598856574699,0.494563492063492,0.876359126984127,0.8257300419659039
D2__fasttext__pretrained_token_vectors__textcnn,9,0.8661356847374527,0.9203427472947135,0.5969047619047619,0.5941070182317175,0.4858730158730158,0.878531746031746,0.8306870110758269
D2__fasttext__pretrained_token_vectors__textcnn,10,0.857328138805571,0.9298312620889572,0.5940873015873016,0.5837299633536857,0.501984126984127,0.8745039682539683,0.8242104670582275
D3__fasttext__pretrained_token_vectors__bilstm,1,1.2019186164966966,1.0936703402655463,0.526984126984127,0.5138764194413727,0.6479761904761905,0.8380059523809524,0.7420609261873321
D3__fasttext__pretrained_token_vectors__bilstm,2,1.0894578710098537,1.05527027588042,0.5425,0.5300532670676588,0.6106349206349206,0.8473412698412699,0.7607786268057337
D3__fasttext__pretrained_token_vectors__bilstm,3,1.0525009856526817,1.023687139427851,0.5508333333333333,0.5425708706371465,0.5742460317460317,0.8564384920634921,0.7861413633830489
D3__fasttext__pretrained_token_vectors__bilstm,4,1.0291878087011803,1.0140262565537104,0.5577777777777778,0.5578443621019974,0.5490873015873016,0.8627281746031746,0.7917405085724123
D3__fasttext__pretrained_token_vectors__bilstm,5,1.0140554265370445,1.0093957483957685,0.5603174603174603,0.5492091424259843,0.5725,0.856875,0.7837152508117111
D3__fasttext__pretrained_token_vectors__bilstm,6,1.0027191511916105,0.990146039894649,0.5684920634920635,0.5626600233696438,0.5447619047619048,0.8638095238095238,0.7998251582128129
D3__fasttext__pretrained_token_vectors__bilstm,7,0.9960502792203656,0.98984547531794,0.5667063492063492,0.5636212236992348,0.5361507936507937,0.8659623015873016,0.8027524296321196
D3__fasttext__pretrained_token_vectors__bilstm,8,0.9871350899575247,0.9827918710405864,0.5732142857142857,0.567982815774984,0.5406746031746031,0.8648313492063492,0.7973435298852888
D3__fasttext__pretrained_token_vectors__bilstm,9,0.9808812960283256,0.9784901586033048,0.5708730158730159,0.5649414011166678,0.5382539682539682,0.865436507936508,0.8009384027764314
D3__fasttext__pretrained_token_vectors__bilstm,10,0.976139554779786,0.9713576060249692,0.572936507936508,0.5647046809321519,0.5382936507936508,0.8654265873015873,0.8047475729071336
