experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,104.11052137520164,3.1110741198062897,0.5921031746031746,0.5898499689113541,0.5021031746031746,0.8744742063492064,0.8181314246258278,
tfidf_word__word_1_2__logreg,tfidf_word,"word n-grams=(1, 2)",word_1_2,logreg,ok,60.45965261571109,2.15613457094878,0.5905952380952381,0.5880564414352982,0.5089285714285714,0.8727678571428572,0.8126812332101675,
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,237.3397537386045,9.298222510144114,0.5846428571428571,0.5818417232608389,0.5209126984126984,0.8697718253968254,0.8065982418903072,
bow__word_1_2__logreg,bow,"word n-grams=(1, 2)",word_1_2,logreg,ok,60.47922164667398,2.352276381105185,0.5706349206349206,0.5695412298235991,0.5276190476190477,0.868095238095238,0.8087528559048294,
tfidf_char__char_wb_3_5__logreg,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,logreg,ok,212.48295852541924,7.896951806731522,0.5810714285714286,0.5767791585125981,0.528452380952381,0.8678869047619048,0.8035200769415725,
tfidf_word__word_1_1__logreg,tfidf_word,"word n-grams=(1, 1)",word_1_1,logreg,ok,32.69881335273385,1.302801380865276,0.5805555555555556,0.5777974400087543,0.5289285714285714,0.8677678571428571,0.8018597788843268,
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,100.57995173987,2.944685040973127,0.5682936507936508,0.5662287238815882,0.5355555555555556,0.866111111111111,0.8049570016185332,
bow__word_1_1__logreg,bow,"word n-grams=(1, 1)",word_1_1,logreg,ok,31.77776698023081,1.2609176691621542,0.569047619047619,0.5647491438689829,0.5464682539682539,0.8633829365079365,0.7958011411197599,
tfidf_word__word_1_2__complement_nb,tfidf_word,"word n-grams=(1, 2)",word_1_2,complement_nb,ok,32.60035613551736,2.108131709508598,0.5713888888888888,0.5527618603426371,0.5750396825396825,0.8562400793650794,0.7873029810774026,
tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,66.28800219111145,2.7223989088088274,0.5686111111111111,0.5504582252882773,0.5788095238095238,0.855297619047619,0.7846186358593241,
