experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.009208700619637966,0.0002557896077632904,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_1__logreg,bow,"word n-grams=(1, 1)",word_1_1,logreg,ok,23.02127906959504,0.018558681942522526,0.569047619047619,0.5647491438689829,0.5464682539682539,0.8633829365079365,0.7958011411197599,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_1__linear_svm,bow,"word n-grams=(1, 1)",word_1_1,linear_svm,ok,1351.0715751685202,0.010106580331921577,0.5162698412698413,0.5125032819385849,0.6591666666666667,0.8352083333333333,0.7283132123177287,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_1__ridge_classifier,bow,"word n-grams=(1, 1)",word_1_1,ridge_classifier,ok,232.98690274823457,0.010613517835736275,0.5163095238095238,0.510001917274307,0.6715079365079365,0.8321230158730158,0.7204523461662524,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_1__complement_nb,bow,"word n-grams=(1, 1)",word_1_1,complement_nb,ok,0.11730851978063583,0.007862218655645847,0.5360317460317461,0.5152922404569531,0.6521825396825397,0.836954365079365,0.7450233655063982,"feature_seconds=12.06; train_shape=(226800, 80567); val_shape=(25200, 80567); train_nnz=6673067"
bow__word_1_2__logreg,bow,"word n-grams=(1, 2)",word_1_2,logreg,ok,42.44006855227053,0.0186470253393054,0.5677777777777778,0.5654068428401879,0.5328571428571428,0.8667857142857143,0.8079797586609576,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_2__linear_svm,bow,"word n-grams=(1, 2)",word_1_2,linear_svm,ok,282.84843391459435,0.020016763359308243,0.5117857142857143,0.5103392555146941,0.6485714285714286,0.8378571428571429,0.7386807450002943,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_2__ridge_classifier,bow,"word n-grams=(1, 2)",word_1_2,ridge_classifier,ok,1058.766114502214,0.02779657207429409,0.4748015873015873,0.47260321449366305,0.7576190476190476,0.8105952380952381,0.6606755621544533,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_2__complement_nb,bow,"word n-grams=(1, 2)",word_1_2,complement_nb,ok,0.21452989429235458,0.018593170680105686,0.5657539682539683,0.547585745949901,0.5815079365079365,0.8546230158730159,0.7849505998588567,"feature_seconds=30.59; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=11794544"
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,44.38595796748996,0.025123470462858677,0.568968253968254,0.5682507818824234,0.5296825396825396,0.8675793650793651,0.8082878049742609,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,275.53589255549014,0.0266011580824852,0.5153968253968254,0.5142410475180189,0.6423015873015873,0.8394246031746032,0.7416651914793179,"feature_seconds=64.01; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
